WMU,Year,Active_Hunters,Antlered_Harvest,Antlerless_Harvest,Total_Harvest
1C,2009,0,0,0,0
1C,2010,0,0,0,0
1C,2011,107,0,0,0
1C,2012,0,0,0,0
1C,2013,41,0,0,0
1C,2014,65,0,0,0
1C,2015,40,0,0,0
1C,2016,23,7,0,7
1C,2017,56,0,0,0
1C,2018,66,3,0,3
2,2009,51,0,0,0
2,2010,86,0,0,0
2,2011,113,0,0,0
2,2012,30,0,0,0
2,2013,48,2,0,2
2,2014,9,0,0,0
2,2015,24,0,0,0
2,2016,72,0,0,0
2,2017,167,0,0,0
2,2018,57,23,0,23
3,2008,457,99,47,146
3,2009,506,80,37,117
3,2010,339,63,40,103
3,2011,523,36,15,51
3,2012,238,18,42,60
3,2013,386,38,25,63
3,2014,244,19,0,19
3,2015,214,4,6,10
3,2016,345,5,3,8
3,2017,335,13,6,19
3,2018,305,2,0,2
4,2008,194,5,0,5
4,2009,169,21,0,21
4,2010,180,32,2,34
4,2011,102,21,0,21
4,2012,198,31,5,36
4,2013,145,3,6,9
4,2014,209,2,0,2
4,2015,188,3,2,5
4,2016,230,0,3,3
4,2017,68,0,2,2
4,2018,121,0,0,0
5,2008,1207,228,193,421
5,2009,1398,249,230,479
5,2010,1100,215,258,473
5,2011,1255,216,200,416
5,2012,1399,349,314,663
5,2013,1392,168,108,276
5,2014,925,73,89,162
5,2015,995,46,44,90
5,2016,979,39,43,82
5,2017,739,70,103,173
5,2018,843,58,29,87
6,2008,254,20,46,66
6,2009,251,40,30,70
6,2010,184,15,46,61
6,2011,181,14,39,53
6,2012,270,73,61,134
6,2013,236,6,41,47
6,2014,256,27,49,76
6,2015,291,56,0,56
6,2016,192,11,23,34
6,2017,294,5,13,18
6,2018,218,7,2,9
7A,2008,146,20,3,23
7A,2009,59,16,5,21
7A,2010,53,16,0,16
7A,2011,109,19,10,29
7A,2012,70,30,0,30
7A,2013,130,48,11,59
7A,2014,104,21,0,21
7A,2015,100,48,0,48
7A,2016,93,30,2,32
7A,2017,104,37,8,45
7A,2018,95,10,7,17
7B,2008,1981,833,1111,1944
7B,2009,1887,797,625,1422
7B,2010,2048,841,833,1674
7B,2011,1624,348,571,919
7B,2012,2062,856,903,1759
7B,2013,1858,481,527,1008
7B,2014,1802,472,333,805
7B,2015,1556,325,234,559
7B,2016,1687,467,263,730
7B,2017,1731,489,336,825
7B,2018,1510,477,310,787
8,2008,1394,571,635,1206
8,2009,1352,601,453,1054
8,2010,1394,624,592,1216
8,2011,1475,543,605,1148
8,2012,1552,608,696,1304
8,2013,1587,607,693,1300
8,2014,1153,396,476,872
8,2015,1453,470,514,984
8,2016,1654,485,577,1062
8,2017,1620,557,767,1324
8,2018,1584,424,572,996
9A,2008,549,51,125,176
9A,2009,520,103,64,167
9A,2010,513,49,91,140
9A,2011,426,56,58,114
9A,2012,469,52,88,140
9A,2013,324,12,53,65
9A,2014,242,22,13,35
9A,2015,321,43,15,58
9A,2016,353,19,5,24
9A,2017,297,19,8,27
9A,2018,364,16,9,25
9B,2008,1011,292,306,598
9B,2009,1066,215,242,457
9B,2010,887,260,260,520
9B,2011,943,267,233,500
9B,2012,1222,279,277,556
9B,2013,1142,247,173,420
9B,2014,733,49,56,105
9B,2015,584,71,77,148
9B,2016,701,85,83,168
9B,2017,979,219,174,393
9B,2018,888,188,126,314
10,2008,2699,1217,1462,2679
10,2009,2428,985,1099,2084
10,2010,2410,982,1111,2093
10,2011,2476,921,980,1901
10,2012,2776,1233,1139,2372
10,2013,2679,891,976,1867
10,2014,1860,445,409,854
10,2015,2148,850,361,1211
10,2016,2032,770,413,1183
10,2017,2112,831,469,1300
10,2018,2176,681,544,1225
11A,2008,492,106,112,218
11A,2009,537,112,106,218
11A,2010,367,141,96,237
11A,2011,417,113,127,240
11A,2012,419,84,116,200
11A,2013,440,52,81,133
11A,2014,374,56,23,79
11A,2015,406,103,17,120
11A,2016,423,114,41,155
11A,2017,415,70,83,153
11A,2018,366,78,67,145
11B,2008,200,0,7,7
11B,2009,136,3,5,8
11B,2010,164,4,4,8
11B,2011,176,26,3,29
11B,2012,112,22,0,22
11B,2013,76,0,0,0
11B,2014,100,3,0,3
11B,2015,211,28,0,28
11B,2016,258,40,0,40
11B,2017,173,22,3,25
11B,2018,156,23,4,27
12A,2008,81,2,2,4
12A,2009,119,0,0,0
12A,2010,97,2,6,8
12A,2011,93,22,9,31
12A,2012,87,0,0,0
12A,2013,87,0,0,0
12A,2014,58,0,0,0
12A,2015,74,0,0,0
12A,2016,102,5,5,10
12A,2017,100,0,0,0
12A,2018,29,0,0,0
12B,2008,611,65,54,119
12B,2009,655,67,52,119
12B,2010,457,54,70,124
12B,2011,483,48,65,113
12B,2012,531,23,79,102
12B,2013,429,82,22,104
12B,2014,382,75,13,88
12B,2015,583,18,31,49
12B,2016,447,50,24,74
12B,2017,538,49,27,76
12B,2018,374,15,21,36
13,2008,3281,1032,715,1747
13,2009,3251,1009,671,1680
13,2010,3273,922,698,1620
13,2011,3128,1076,792,1868
13,2012,4170,1481,1100,2581
13,2013,4383,1476,809,2285
13,2014,3698,1074,1027,2101
13,2015,4005,1246,933,2179
13,2016,4642,1405,901,2306
13,2017,4391,1380,943,2323
13,2018,4708,1300,834,2134
14,2008,17,10,10,20
14,2009,96,52,2,54
14,2010,40,4,4,8
14,2011,14,0,3,3
14,2012,104,0,0,0
14,2013,11,0,0,0
14,2014,79,17,0,17
14,2015,7,0,0,0
14,2016,0,0,0,0
14,2017,0,0,0,0
14,2018,2,0,0,0
15A,2008,217,0,3,3
15A,2009,199,3,0,3
15A,2010,160,2,0,2
15A,2011,107,0,2,2
15A,2012,47,0,2,2
15A,2013,35,0,2,2
15A,2014,88,0,0,0
15A,2015,91,0,0,0
15A,2016,48,0,0,0
15A,2017,73,0,0,0
15A,2018,73,0,0,0
15B,2008,485,5,11,16
15B,2009,601,22,3,25
15B,2010,495,22,7,29
15B,2011,409,0,5,5
15B,2012,433,5,12,17
15B,2013,332,0,4,4
15B,2014,329,2,2,4
15B,2015,477,0,0,0
15B,2016,385,0,7,7
15B,2017,280,2,3,5
15B,2018,308,0,0,0
16A,2009,11,0,0,0
16A,2010,6,0,0,0
16A,2011,6,2,0,2
16A,2012,0,0,0,0
16A,2013,18,0,0,0
16A,2014,0,0,0,0
16A,2015,20,0,0,0
16A,2016,18,0,0,0
16A,2017,3,0,0,0
16A,2018,18,0,0,0
16B,2009,24,16,0,16
16B,2010,12,0,0,0
16B,2011,13,0,0,0
16B,2012,3,0,0,0
16B,2013,22,4,0,4
16B,2014,0,0,0,0
16B,2015,7,0,0,0
16B,2016,11,0,0,0
16B,2017,37,0,0,0
16B,2018,37,0,0,0
16C,2009,22,0,0,0
16C,2010,0,0,0,0
16C,2011,6,0,0,0
16C,2012,0,0,0,0
16C,2013,4,0,0,0
16C,2014,0,0,0,0
16C,2015,0,0,0,0
16C,2016,4,0,0,0
16C,2017,0,0,0,0
16C,2018,2,0,0,0
17,2009,19,0,0,0
17,2010,39,0,0,0
17,2011,8,0,0,0
17,2012,4,6,0,6
17,2013,9,0,0,0
17,2014,40,0,0,0
17,2015,10,0,0,0
17,2016,14,0,0,0
17,2017,65,35,0,35
17,2018,11,0,0,0
18A,2009,38,0,0,0
18A,2010,22,0,0,0
18A,2011,21,0,0,0
18A,2012,29,0,0,0
18A,2013,42,0,0,0
18A,2014,7,0,0,0
18A,2015,29,23,0,23
18A,2016,99,0,0,0
18A,2017,17,3,0,3
18A,2018,69,5,0,5
18B,2009,0,0,0,0
18B,2010,0,0,0,0
18B,2011,0,0,0,0
18B,2012,0,0,0,0
18B,2013,6,0,0,0
18B,2014,0,0,0,0
18B,2015,0,0,0,0
18B,2016,0,2,0,2
18B,2017,0,0,0,0
18B,2018,11,0,0,0
19,2009,69,13,0,13
19,2010,19,0,3,3
19,2011,15,0,2,2
19,2012,92,0,0,0
19,2013,31,1,0,1
19,2014,17,0,0,0
19,2015,140,36,0,36
19,2016,45,0,0,0
19,2017,57,7,0,7
19,2018,85,0,0,0
21A,2008,264,16,14,30
21A,2009,346,2,9,11
21A,2010,311,17,6,23
21A,2011,244,2,5,7
21A,2012,293,5,12,17
21A,2013,285,3,18,21
21A,2014,220,3,0,3
21A,2015,248,30,0,30
21A,2016,151,4,3,7
21A,2017,214,0,0,0
21A,2018,251,0,0,0
21B,2009,38,0,0,0
21B,2010,83,0,0,0
21B,2011,33,0,0,0
21B,2012,70,0,0,0
21B,2013,8,0,0,0
21B,2014,0,0,0,0
21B,2015,123,0,0,0
21B,2016,60,0,0,0
21B,2017,51,17,0,17
21B,2018,35,0,0,0
22,2009,0,0,0,0
22,2010,0,0,0,0
22,2011,3,0,0,0
22,2012,27,0,0,0
22,2013,0,0,0,0
22,2014,0,0,0,0
22,2015,0,0,0,0
22,2016,7,0,0,0
22,2017,0,0,0,0
22,2018,23,0,0,0
23,2009,7,0,0,0
23,2010,6,0,0,0
23,2011,6,0,0,0
23,2012,11,0,0,0
23,2013,12,0,0,0
23,2014,2,0,0,0
23,2015,0,0,0,0
23,2016,15,0,0,0
23,2017,15,3,0,3
23,2018,26,0,0,0
24,2009,22,0,0,0
24,2010,1,0,0,0
24,2011,2,0,0,0
24,2012,11,0,0,0
24,2013,0,0,0,0
24,2014,7,0,0,0
24,2015,35,0,0,0
24,2016,23,0,0,0
24,2017,34,0,0,0
24,2018,18,0,0,0
25,2009,2,0,0,0
25,2010,40,0,1,1
25,2011,0,0,0,0
25,2012,7,0,0,0
25,2013,0,0,0,0
25,2014,0,0,0,0
25,2015,8,0,0,0
25,2016,20,0,0,0
25,2017,21,4,0,4
25,2018,0,0,0,0
26,2009,46,38,0,38
26,2010,3,0,0,0
26,2011,3,0,0,0
26,2012,6,0,0,0
26,2013,0,0,0,0
26,2014,0,0,0,0
26,2015,19,0,0,0
26,2016,4,0,0,0
26,2017,6,0,0,0
26,2018,20,0,0,0
27,2009,1,0,0,0
27,2010,33,22,0,22
27,2011,0,3,0,3
27,2012,0,0,0,0
27,2013,9,0,0,0
27,2014,10,0,0,0
27,2015,3,0,0,0
27,2016,36,0,0,0
27,2017,22,4,0,4
27,2018,34,0,0,0
28,2008,323,56,9,65
28,2009,172,4,0,4
28,2010,140,4,2,6
28,2011,162,2,2,4
28,2012,155,6,6,12
28,2013,120,0,3,3
28,2014,83,0,14,14
28,2015,168,2,0,2
28,2016,106,2,2,4
28,2017,88,2,0,2
28,2018,180,50,8,58
29,2009,23,0,0,0
29,2010,48,0,0,0
29,2011,0,0,0,0
29,2012,13,6,0,6
29,2013,35,6,0,6
29,2014,4,0,0,0
29,2015,46,0,0,0
29,2016,71,2,0,2
29,2017,21,0,0,0
29,2018,25,0,0,0
30,2009,14,0,0,0
30,2010,2,0,0,0
30,2011,8,6,0,6
30,2012,29,0,0,0
30,2013,13,0,0,0
30,2014,38,0,0,0
30,2015,3,0,0,0
30,2016,15,0,0,0
30,2017,93,3,0,3
30,2018,16,0,0,0
31,2009,26,0,0,0
31,2010,8,0,0,0
31,2011,8,2,0,2
31,2012,13,0,0,0
31,2013,20,0,0,0
31,2014,2,0,0,0
31,2015,12,0,0,0
31,2016,77,30,0,30
31,2017,7,2,5,7
31,2018,27,0,0,0
34,2009,33,0,0,0
34,2010,0,0,0,0
34,2011,51,6,0,6
34,2012,15,11,0,11
34,2013,40,15,0,15
34,2014,15,0,0,0
34,2015,39,0,0,0
34,2016,70,5,0,5
34,2017,5,0,0,0
34,2018,73,16,0,16
35,2009,119,0,0,0
35,2010,73,2,0,2
35,2011,74,0,3,3
35,2012,83,5,0,5
35,2013,124,18,5,23
35,2014,39,4,0,4
35,2015,81,0,0,0
35,2016,87,0,0,0
35,2017,62,0,0,0
35,2018,47,5,0,5
36,2008,1668,154,233,387
36,2009,1682,91,137,228
36,2010,1703,264,114,378
36,2011,1670,315,188,503
36,2012,1622,287,187,474
36,2013,1623,158,213,371
36,2014,1459,86,121,207
36,2015,1466,110,176,286
36,2016,1545,263,137,400
36,2017,1586,231,172,403
36,2018,1492,230,169,399
37,2008,1896,169,172,341
37,2009,1952,67,104,171
37,2010,1626,100,75,175
37,2011,1450,154,108,262
37,2012,1464,155,147,302
37,2013,1435,144,107,251
37,2014,1312,164,125,289
37,2015,1457,120,70,190
37,2016,1446,160,84,244
37,2017,1407,143,136,279
37,2018,1297,177,170,347
38,2008,147,3,3,6
38,2009,83,9,0,9
38,2010,171,6,0,6
38,2011,228,32,0,32
38,2012,186,0,2,2
38,2013,81,8,4,12
38,2014,108,15,0,15
38,2015,157,15,7,22
38,2016,147,0,2,2
38,2017,134,7,10,17
38,2018,128,2,11,13
39,2008,728,84,45,129
39,2009,710,49,31,80
39,2010,791,59,25,84
39,2011,743,118,39,157
39,2012,933,165,30,195
39,2013,973,152,46,198
39,2014,815,127,49,176
39,2015,961,101,29,130
39,2016,1034,188,43,231
39,2017,1077,101,41,142
39,2018,938,106,50,156
40,2009,82,20,4,24
40,2010,59,0,0,0
40,2011,86,0,0,0
40,2012,30,22,0,22
40,2013,50,2,0,2
40,2014,29,4,0,4
40,2015,14,3,0,3
40,2016,67,0,0,0
40,2017,53,0,0,0
40,2018,45,4,0,4
41,2008,1339,238,108,346
41,2009,1433,190,75,265
41,2010,1534,202,80,282
41,2011,1344,173,90,263
41,2012,1530,247,109,356
41,2013,1351,240,128,368
41,2014,1393,90,126,216
41,2015,1735,200,99,299
41,2016,1828,114,74,188
41,2017,1629,150,85,235
41,2018,1328,148,53,201
42,2008,2627,463,160,623
42,2009,2822,515,138,653
42,2010,2734,475,173,648
42,2011,2929,536,208,744
42,2012,3201,644,166,810
42,2013,3445,607,152,759
42,2014,3042,528,162,690
42,2015,3052,375,223,598
42,2016,3432,615,206,821
42,2017,3202,414,191,605
42,2018,2975,366,196,562
43A,2008,1446,269,238,507
43A,2009,1184,244,192,436
43A,2010,1209,276,169,445
43A,2011,1107,147,145,292
43A,2012,1117,221,125,346
43A,2013,1240,274,139,413
43A,2014,1016,241,51,292
43A,2015,983,190,98,288
43A,2016,1255,198,118,316
43A,2017,1165,240,134,374
43A,2018,998,146,185,331
43B,2008,6218,1499,2236,3735
43B,2009,6172,1267,1571,2838
43B,2010,6086,1314,1280,2594
43B,2011,6181,1424,1267,2691
43B,2012,5963,1550,1318,2868
43B,2013,6081,1715,1195,2910
43B,2014,5618,1226,1245,2471
43B,2015,6507,1552,1447,2999
43B,2016,6131,1785,1350,3135
43B,2017,6472,1779,1747,3526
43B,2018,7185,1448,2332,3780
44,2008,178,80,51,131
44,2009,294,71,54,125
44,2010,213,97,37,134
44,2011,245,116,48,164
44,2012,153,54,33,87
44,2013,172,61,18,79
44,2014,166,25,6,31
44,2015,180,33,7,40
44,2016,143,17,6,23
44,2017,188,91,6,97
44,2018,132,67,4,71
45,2008,1544,244,156,400
45,2009,1570,155,173,328
45,2010,1309,175,170,345
45,2011,1418,371,227,598
45,2012,1367,296,229,525
45,2013,1480,221,294,515
45,2014,1258,166,198,364
45,2015,1373,182,144,326
45,2016,1452,229,159,388
45,2017,1512,328,187,515
45,2018,1395,244,176,420
46,2008,2191,385,397,782
46,2009,2213,304,277,581
46,2010,2113,315,288,603
46,2011,2274,446,456,902
46,2012,2410,506,412,918
46,2013,2412,475,505,980
46,2014,2170,253,129,382
46,2015,2292,336,163,499
46,2016,2225,376,139,515
46,2017,2212,333,146,479
46,2018,2424,251,154,405
47,2008,7257,1289,1712,3001
47,2009,7537,1290,1475,2765
47,2010,7612,1232,1609,2841
47,2011,7402,1302,1896,3198
47,2012,7145,1260,1569,2829
47,2013,7148,1391,1528,2919
47,2014,7041,707,1715,2422
47,2015,7040,631,1069,1700
47,2016,7541,676,772,1448
47,2017,7694,529,894,1423
47,2018,7169,603,773,1376
48,2008,2621,489,278,767
48,2009,2698,439,277,716
48,2010,2884,373,266,639
48,2011,2994,400,375,775
48,2012,3026,473,332,805
48,2013,2862,480,468,948
48,2014,2611,431,394,825
48,2015,3067,446,246,692
48,2016,3030,395,280,675
48,2017,2896,347,230,577
48,2018,2790,369,275,644
49,2008,4930,644,812,1456
49,2009,4945,503,482,985
49,2010,4920,493,623,1116
49,2011,5585,983,659,1642
49,2012,5390,898,877,1775
49,2013,5525,740,787,1527
49,2014,4787,467,328,795
49,2015,4968,339,303,642
49,2016,5605,590,300,890
49,2017,5039,273,276,549
49,2018,5062,265,228,493
50,2008,2131,245,187,432
50,2009,1969,188,138,326
50,2010,1822,158,207,365
50,2011,1860,317,168,485
50,2012,1969,342,260,602
50,2013,2260,370,179,549
50,2014,1874,241,116,357
50,2015,2192,189,75,264
50,2016,2052,208,46,254
50,2017,1751,172,69,241
50,2018,1697,144,70,214
53A,2008,3118,537,464,1001
53A,2009,3137,448,350,798
53A,2010,2938,498,294,792
53A,2011,2995,326,351,677
53A,2012,2584,528,393,921
53A,2013,3088,647,507,1154
53A,2014,2705,405,114,519
53A,2015,2511,370,96,466
53A,2016,3074,361,130,491
53A,2017,2470,285,113,398
53A,2018,2401,242,114,356
53B,2008,206,32,22,54
53B,2009,137,23,22,45
53B,2010,219,22,41,63
53B,2011,213,27,58,85
53B,2012,278,63,45,108
53B,2013,218,58,32,90
53B,2014,202,29,25,54
53B,2015,238,19,28,47
53B,2016,159,26,22,48
53B,2017,197,61,18,79
53B,2018,232,32,21,53
54,2008,1952,237,258,495
54,2009,1899,236,194,430
54,2010,2033,275,192,467
54,2011,1753,123,141,264
54,2012,1870,277,189,466
54,2013,1643,213,173,386
54,2014,1475,93,191,284
54,2015,1879,112,92,204
54,2016,1752,90,84,174
54,2017,1745,152,108,260
54,2018,1612,88,77,165
55A,2008,1437,227,128,355
55A,2009,1453,165,189,354
55A,2010,1446,109,188,297
55A,2011,1550,225,152,377
55A,2012,1506,202,167,369
55A,2013,1345,172,195,367
55A,2014,1306,62,110,172
55A,2015,1565,93,97,190
55A,2016,1407,135,120,255
55A,2017,1324,75,114,189
55A,2018,1231,103,83,186
